Site Name ,OUTSIDE2211
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4608


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

262,22/11/2018 , 14:22:00,1220,1220
263,22/11/2018 , 14:23:00,2246,2246
264,22/11/2018 , 14:24:00,1757,1757
265,22/11/2018 , 14:25:00,1844,1844
266,22/11/2018 , 14:26:00,2729,2729
267,22/11/2018 , 14:27:00,2788,2788
268,22/11/2018 , 14:28:00,2516,2516
269,22/11/2018 , 14:29:00,2688,2688
270,22/11/2018 , 14:30:00,2763,2763
271,22/11/2018 , 14:31:00,2884,2884
272,22/11/2018 , 14:32:00,2574,2574
273,22/11/2018 , 14:33:00,1247,1247
274,22/11/2018 , 14:34:00,972,972
275,22/11/2018 , 14:35:00,2578,2578
276,22/11/2018 , 14:36:00,1806,1806
277,22/11/2018 , 14:37:00,658,658
278,22/11/2018 , 14:38:00,724,724
279,22/11/2018 , 14:39:00,2003,2003
280,22/11/2018 , 14:40:00,641,641
281,22/11/2018 , 14:41:00,1527,1527
282,22/11/2018 , 14:42:00,1436,1436
283,22/11/2018 , 14:43:00,559,559
284,22/11/2018 , 14:44:00,1186,1186
285,22/11/2018 , 14:45:00,2567,2567
286,22/11/2018 , 14:46:00,1697,1697
287,22/11/2018 , 14:47:00,2574,2574
288,22/11/2018 , 14:48:00,2602,2602
289,22/11/2018 , 14:49:00,2595,2595
290,22/11/2018 , 14:50:00,2536,2536
291,22/11/2018 , 14:51:00,2550,2550
292,22/11/2018 , 14:52:00,2602,2602
293,22/11/2018 , 14:53:00,2594,2594
294,22/11/2018 , 14:54:00,2506,2506
295,22/11/2018 , 14:55:00,2583,2583
296,22/11/2018 , 14:56:00,2543,2543
297,22/11/2018 , 14:57:00,2583,2583
298,22/11/2018 , 14:58:00,2603,2603
299,22/11/2018 , 14:59:00,2604,2604
300,22/11/2018 , 15:00:00,2550,2550
301,22/11/2018 , 15:01:00,2456,2456
302,22/11/2018 , 15:02:00,2417,2417
303,22/11/2018 , 15:03:00,2436,2436
304,22/11/2018 , 15:04:00,2503,2503
305,22/11/2018 , 15:05:00,2556,2556
306,22/11/2018 , 15:06:00,2466,2466
307,22/11/2018 , 15:07:00,1906,1906
308,22/11/2018 , 15:08:00,2251,2251
309,22/11/2018 , 15:09:00,2264,2264
310,22/11/2018 , 15:10:00,2245,2245
311,22/11/2018 , 15:11:00,2268,2268
312,22/11/2018 , 15:12:00,2358,2358
313,22/11/2018 , 15:13:00,2352,2352
314,22/11/2018 , 15:14:00,2485,2485
315,22/11/2018 , 15:15:00,2467,2467
316,22/11/2018 , 15:16:00,2490,2490
317,22/11/2018 , 15:17:00,2458,2458
318,22/11/2018 , 15:18:00,1985,1985
319,22/11/2018 , 15:19:00,2159,2159
320,22/11/2018 , 15:20:00,1635,1635
321,22/11/2018 , 15:21:00,2190,2190
322,22/11/2018 , 15:22:00,2173,2173
323,22/11/2018 , 15:23:00,2139,2139
324,22/11/2018 , 15:24:00,2154,2154
325,22/11/2018 , 15:25:00,2105,2105
326,22/11/2018 , 15:26:00,2098,2098
327,22/11/2018 , 15:27:00,2111,2111
328,22/11/2018 , 15:28:00,2150,2150
329,22/11/2018 , 15:29:00,2159,2159
330,22/11/2018 , 15:30:00,2136,2136
331,22/11/2018 , 15:31:00,1160,1160
332,22/11/2018 , 15:32:00,468,468
333,22/11/2018 , 15:33:00,541,541
334,22/11/2018 , 15:34:00,1756,1756
335,22/11/2018 , 15:35:00,2119,2119
336,22/11/2018 , 15:36:00,2137,2137
337,22/11/2018 , 15:37:00,1950,1950
338,22/11/2018 , 15:38:00,2135,2135
339,22/11/2018 , 15:39:00,2133,2133
340,22/11/2018 , 15:40:00,2072,2072
341,22/11/2018 , 15:41:00,1963,1963
342,22/11/2018 , 15:42:00,1919,1919
343,22/11/2018 , 15:43:00,1900,1900
344,22/11/2018 , 15:44:00,1932,1932
345,22/11/2018 , 15:45:00,2007,2007
346,22/11/2018 , 15:46:00,2079,2079
347,22/11/2018 , 15:47:00,2047,2047
348,22/11/2018 , 15:48:00,1973,1973
349,22/11/2018 , 15:49:00,1589,1589
350,22/11/2018 , 15:50:00,1152,1152
351,22/11/2018 , 15:51:00,572,572
352,22/11/2018 , 15:52:00,721,721
353,22/11/2018 , 15:53:00,945,945
354,22/11/2018 , 15:54:00,1638,1638
355,22/11/2018 , 15:55:00,1616,1616
356,22/11/2018 , 15:56:00,1546,1546
357,22/11/2018 , 15:57:00,1554,1554
358,22/11/2018 , 15:58:00,1569,1569
359,22/11/2018 , 15:59:00,1554,1554
360,22/11/2018 , 16:00:00,1535,1535
361,22/11/2018 , 16:01:00,1509,1509
362,22/11/2018 , 16:02:00,1151,1151
363,22/11/2018 , 16:03:00,634,634
364,22/11/2018 , 16:04:00,435,435
365,22/11/2018 , 16:05:00,489,489
366,22/11/2018 , 16:06:00,537,537
367,22/11/2018 , 16:07:00,523,523
368,22/11/2018 , 16:08:00,504,504
369,22/11/2018 , 16:09:00,508,508
370,22/11/2018 , 16:10:00,452,452
371,22/11/2018 , 16:11:00,398,398
372,22/11/2018 , 16:12:00,454,454
373,22/11/2018 , 16:13:00,546,546
374,22/11/2018 , 16:14:00,589,589
375,22/11/2018 , 16:15:00,621,621
376,22/11/2018 , 16:16:00,544,544
377,22/11/2018 , 16:17:00,492,492
378,22/11/2018 , 16:18:00,480,480
379,22/11/2018 , 16:19:00,509,509
380,22/11/2018 , 16:20:00,485,485
381,22/11/2018 , 16:21:00,446,446
382,22/11/2018 , 16:22:00,412,412
383,22/11/2018 , 16:23:00,401,401
384,22/11/2018 , 16:24:00,349,349
385,22/11/2018 , 16:25:00,296,296
386,22/11/2018 , 16:26:00,265,265
387,22/11/2018 , 16:27:00,256,256
388,22/11/2018 , 16:28:00,264,264
389,22/11/2018 , 16:29:00,270,270
390,22/11/2018 , 16:30:00,277,277
391,22/11/2018 , 16:31:00,266,266
392,22/11/2018 , 16:32:00,256,256
393,22/11/2018 , 16:33:00,265,265
394,22/11/2018 , 16:34:00,270,270
395,22/11/2018 , 16:35:00,241,241
396,22/11/2018 , 16:36:00,234,234
397,22/11/2018 , 16:37:00,230,230
398,22/11/2018 , 16:38:00,230,230
399,22/11/2018 , 16:39:00,207,207
400,22/11/2018 , 16:40:00,196,196
401,22/11/2018 , 16:41:00,207,207
402,22/11/2018 , 16:42:00,209,209
403,22/11/2018 , 16:43:00,212,212
404,22/11/2018 , 16:44:00,211,211
405,22/11/2018 , 16:45:00,198,198
406,22/11/2018 , 16:46:00,198,198
407,22/11/2018 , 16:47:00,206,206
408,22/11/2018 , 16:48:00,203,203
409,22/11/2018 , 16:49:00,205,205
410,22/11/2018 , 16:50:00,208,208
411,22/11/2018 , 16:51:00,222,222
412,22/11/2018 , 16:52:00,217,217
413,22/11/2018 , 16:53:00,203,203
414,22/11/2018 , 16:54:00,189,189
415,22/11/2018 , 16:55:00,204,204
416,22/11/2018 , 16:56:00,220,220
417,22/11/2018 , 16:57:00,229,229
418,22/11/2018 , 16:58:00,244,244
419,22/11/2018 , 16:59:00,223,223
420,22/11/2018 , 17:00:00,190,190
421,22/11/2018 , 17:01:00,171,171
422,22/11/2018 , 17:02:00,167,167
