Site Name ,EXPERIMENT
Site Number ,1
Logger ,Integrating Light Sensor
Logger Serial Number ,4607


Scan No ,Date and Time,       Integrating Light,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

216,27/11/2018 , 12:36:00,792,792
217,27/11/2018 , 12:37:00,710,710
218,27/11/2018 , 12:38:00,288,288
219,27/11/2018 , 12:39:00,305,305
220,27/11/2018 , 12:40:00,742,742
221,27/11/2018 , 12:41:00,533,533
222,27/11/2018 , 12:42:00,417,417
223,27/11/2018 , 12:43:00,268,268
224,27/11/2018 , 12:44:00,261,261
225,27/11/2018 , 12:45:00,348,348
226,27/11/2018 , 12:46:00,192,192
227,27/11/2018 , 12:47:00,573,573
228,27/11/2018 , 12:48:00,817,817
229,27/11/2018 , 12:49:00,663,663
230,27/11/2018 , 12:50:00,235,235
231,27/11/2018 , 12:51:00,258,258
232,27/11/2018 , 12:52:00,206,206
233,27/11/2018 , 12:53:00,217,217
234,27/11/2018 , 12:54:00,367,367
235,27/11/2018 , 12:55:00,232,232
236,27/11/2018 , 12:56:00,190,190
237,27/11/2018 , 12:57:00,190,190
238,27/11/2018 , 12:58:00,281,281
239,27/11/2018 , 12:59:00,881,881
240,27/11/2018 , 13:00:00,882,882
241,27/11/2018 , 13:01:00,315,315
242,27/11/2018 , 13:02:00,798,798
243,27/11/2018 , 13:03:00,881,881
244,27/11/2018 , 13:04:00,252,252
245,27/11/2018 , 13:05:00,844,844
246,27/11/2018 , 13:06:00,914,914
247,27/11/2018 , 13:07:00,843,843
248,27/11/2018 , 13:08:00,697,697
249,27/11/2018 , 13:09:00,402,402
250,27/11/2018 , 13:10:00,886,886
251,27/11/2018 , 13:11:00,657,657
252,27/11/2018 , 13:12:00,272,272
253,27/11/2018 , 13:13:00,338,338
254,27/11/2018 , 13:14:00,294,294
255,27/11/2018 , 13:15:00,289,289
256,27/11/2018 , 13:16:00,642,642
257,27/11/2018 , 13:17:00,823,823
258,27/11/2018 , 13:18:00,782,782
259,27/11/2018 , 13:19:00,940,940
260,27/11/2018 , 13:20:00,973,973
261,27/11/2018 , 13:21:00,809,809
262,27/11/2018 , 13:22:00,610,610
263,27/11/2018 , 13:23:00,358,358
264,27/11/2018 , 13:24:00,416,416
265,27/11/2018 , 13:25:00,528,528
266,27/11/2018 , 13:26:00,519,519
267,27/11/2018 , 13:27:00,620,620
268,27/11/2018 , 13:28:00,737,737
269,27/11/2018 , 13:29:00,686,686
270,27/11/2018 , 13:30:00,989,989
271,27/11/2018 , 13:31:00,719,719
272,27/11/2018 , 13:32:00,655,655
273,27/11/2018 , 13:33:00,601,601
274,27/11/2018 , 13:34:00,521,521
275,27/11/2018 , 13:35:00,507,507
276,27/11/2018 , 13:36:00,455,455
277,27/11/2018 , 13:37:00,327,327
278,27/11/2018 , 13:38:00,399,399
279,27/11/2018 , 13:39:00,501,501
280,27/11/2018 , 13:40:00,517,517
281,27/11/2018 , 13:41:00,630,630
282,27/11/2018 , 13:42:00,713,713
283,27/11/2018 , 13:43:00,515,515
284,27/11/2018 , 13:44:00,248,248
285,27/11/2018 , 13:45:00,243,243
286,27/11/2018 , 13:46:00,230,230
287,27/11/2018 , 13:47:00,253,253
288,27/11/2018 , 13:48:00,265,265
289,27/11/2018 , 13:49:00,277,277
290,27/11/2018 , 13:50:00,279,279
291,27/11/2018 , 13:51:00,260,260
292,27/11/2018 , 13:52:00,268,268
293,27/11/2018 , 13:53:00,279,279
294,27/11/2018 , 13:54:00,240,240
295,27/11/2018 , 13:55:00,326,326
296,27/11/2018 , 13:56:00,289,289
297,27/11/2018 , 13:57:00,236,236
298,27/11/2018 , 13:58:00,340,340
299,27/11/2018 , 13:59:00,339,339
300,27/11/2018 , 14:00:00,365,365
301,27/11/2018 , 14:01:00,399,399
