cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
392	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
393	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
396	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
615	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
1101	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
1398	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
1399	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
2319	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
3949	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
3995	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
4486	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
4973	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
4988	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
5048	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
5050	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
5197	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
5199	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
5200	250	48	Organic compounds	0.25	Benzenoids	0.16666666666666666	Benzene and substituted derivatives	0.16666666666666666	Cumenes	0.10416666666666667	Cumenes	0.10416666666666667	Aromatic homomonocyclic compounds	0.14583333333333334
