,SMILES
66,CCN1C[C@@]2(CC[C@@H]([C@@]34[C@@H]2[C@H]([C@H](C31)[C@]5(C[C@@H]([C@H]6C[C@@H]4[C@@H]5[C@H]6OC(=O)C)OC)O)OC)O)COC
67,CC(=O)O[C@H]1[C@H]2O[C@]22[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@H]1C1=COC(=O)C=C1
68,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F
69,CCC1CC(=Cc2ccc(OC)cc2)C(=O)C(=Cc2ccc(OC)cc2)C1
70,CNCCCC12CCC(C3=C1C=CC=C3)C1=C2C=CC=C1
71,O=C(OC)C1C(=O)C(C(=O)C=CC=2OC=CC2)C(=O)CC1(C)C
72,COc1cc2c3cc1Oc1c(OC)c(OC)cc4c1C(Cc1ccc(O)c(c1)Oc1ccc(cc1)CC3N(C)CC2)N(C)CC4
73,CC(CN1CCCCC1)CC1=CC=C(C=C1)C(C)(C)C
74,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O
75,C\C(CC[C@H]1C(=C)CCC2[C@@](C)(CCC[C@]12C)C=O)=C/CO
76,CCCCCCCCCCCC[N+](C)(C)[O-]
77,COc1cc2c(cc1OC)C(CC(C)C)=NCC2
78,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4
79,C(NCC1=CC=CC=C1)C1=CC=CC=C1
80,CC(C)CC1NC(=O)C(C)NC(=O)C(CC(C)C)OC(=O)CCCNC1=O
81,CC[N+](CC)(Cc1ccccc1)CC(=O)Nc2c(cccc2C)C
82,CN1C2CCC1CC(OC(=O)C(O)c1ccccc1)C2
83,CCCCCCCCCCCC(=O)N(C)CC(=O)O
84,COc1c(C)c2c(c(OC)c1OC)COC2=O
85,CC1=C2CC3C(=C)CCCC3(C)CC2(O)OC1=O
86,Cc1ccc2c(CN3CCNCC3)cc(=O)oc2c1
87,CC(C)[C@]1(O)CC[C@]2(C)C\C=C(\C)C[C@H](O)[C@@H]12
88,C/C1=C\CCC2=C[C@@H](OC2=O)[C@H](C(C)C)CC[C@]3(C)[C@H](O3)CC1
89,CCCOc1cccc(C2C3=C(CC(C)(C)CC3=O)Nc3ccccc3N2C(C)=O)c1
90,CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
91,CCCCCC(O)C=CC1=C(CCCCCCC(=O)O)C(=O)CC1
92,[H]OC([H])([H])c(c(O[H])1)c([H])c(c([H])c([H])1)C([H])(O[H])C([H])([H])N([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
93,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O
94,Cc1nn(-c2ccccc2)c(C)c1C=CC(=O)c1ccc2c(c1)OCO2
95,CC1OC(=O)C2CC3CCCCC3C(C=CC3CCCC(C)N3C)C12
96,c1ccc(cc1)C1=C(C(=O)C(=C(C1=O)O)c1ccccc1)O
97,COc1ccccc1-c1cc(=O)c2ccc3ccccc3c2o1
98,COc1c2c(cc3c1OCO3)CCN(C)C2
99,COC1=C(O)C=CC(=C1)C(=O)OC1CC2CCC(C1)N2
100,Cc1ccc(C)c(N2CCN(Cc3cc(=O)oc4cc(C)cc(C)c34)CC2)c1
101,CCCCCCCCC1OC1C(O)CCCCCCC(O)=O
102,C=C(C)C1CC=C(C(=O)O)CC1
103,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
104,COC12CC3(C)CCC(OC(C)=O)C(=C)C3C\C1=C(C)\C(=O)O2
105,C1CC[C@@](CC1)(C(=O)O)CC(=O)O
106,O=C1C=C(OC2=CC(OC)=CC=C12)C=3C=CC(OC)=C(OC)C3
107,CC/C=C\C/C=C\C/C=C\CC1C(O1)C/C=C\CCCC(=O)O
108,CCN1CC2(COC)CCC(OC)C34C5CC6C(OC)CC7(OCOC7(C(O)C23)C14)C5C6OC
109,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2
110,C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21
111,OCCOCCOCCOCCOCCOCCOCCOCCO
112,CC/C=C\C/C=C\C=C\C(=O)CCCCCCCC(=O)O
