Sample_ID,Analysis_Type,Year,Month,Day,Time,Time_Point,Exp_Sample_Type,Treatment_ratio,Replicate,Bottle_Nr,Notes,MCSMAC,Filename,"Keyword: SAMPLE ID for Plot #3, overlay #1",Dilution,nr_of_Events,nr_of_Events_V1,nr_of_Events_V2,nr_of_Events_V3,nr_of_total_viral,Concentration_total,Concentration_V1,Concentration_V2,Concentration_V3,Concentration_All_viral
CU18_437,Virus,2018,11,28,09;00,9,Experiment,Coral_Turf,1,10,0,2,vi190219.048,CU18_437_2x,2,36870,21413,10377,2229,34019,1603043.478,931000,451173.913,96913.04348,1479086.957
CU18_438,Virus,2018,11,28,09;00,9,Experiment,Coral_Turf,2,11,0,2,vi190219.050,CU18_438_10x,10,39345,22715,11267,2523,36505,8553260.87,4938043.478,2449347.826,548478.2609,7935869.565
CU18_439,Virus,2018,11,28,09;00,9,Experiment,Coral_Turf,3,12,0,2,vi190219.052,CU18_439_10x,10,41835,23397,12467,2912,38776,9094565.217,5086304.348,2710217.391,633043.4783,8429565.217
CU18_440,Virus,2018,11,28,09;00,9,Experiment,Turf,1,13,0,2,vi190219.054,CU18_440_10x,10,40500,22740,11903,2559,37202,8804347.826,4943478.261,2587608.696,556304.3478,8087391.304
CU18_441,Virus,2018,11,28,09;00,9,Experiment,Turf,2,14,0,2,vi190219.056,CU18_441_10x,10,35805,21413,10081,1961,33455,7783695.652,4655000,2191521.739,426304.3478,7272826.087
CU18_442,Virus,2018,11,28,09;00,9,Experiment,Turf,3,15,0,2,vi190219.057,CU18_442_100x,100,20175,18010,1049,207,19266,43858695.65,39152173.91,2280434.783,450000,41882608.7
CU18_443,Virus,2018,11,28,09;00,9,Control,Control,1,16,0,2,vi190219.060,CU18_443_10x,10,46575,24624,14801,3826,43251,10125000,5353043.478,3217608.696,831739.1304,9402391.304
CU18_444,Virus,2018,11,28,09;00,9,Control,Control,2,17,0,2,vi190219.062,CU18_444_10x,10,36945,20363,10997,2586,33946,8031521.739,4426739.13,2390652.174,562173.913,7379565.217
CU18_445,Virus,2018,11,28,09;00,9,Control,Control,3,18,0,2,vi190219.064,CU18_445_10x,10,40410,21896,12519,3035,37450,8784782.609,4760000,2721521.739,659782.6087,8141304.348
CU18_504,Virus,2018,11,28,18;00,18,Experiment,Dictyota,1,1,0,2,vi190219.084,CU18_504_10x,10,46155,19070,11437,2812,33319,10033695.65,4145652.174,2486304.348,611304.3478,7243260.87
CU18_505,Virus,2018,11,28,18;00,18,Experiment,Dictyota,2,2,0,2,vi190219.086,CU18_505_10x,10,37275,17672,8521,1935,28128,8103260.87,3841739.13,1852391.304,420652.1739,6114782.609
CU18_506,Virus,2018,11,28,18;00,18,Experiment,Dictyota,3,3,0,2,vi190219.088,CU18_506_10x,10,35865,16388,8295,1970,26653,7796739.13,3562608.696,1803260.87,428260.8696,5794130.435
CU18_507,Virus,2018,11,28,18;00,18,Experiment,Coral_Dictyota,1,4,0,2,vi190219.090,CU18_507_10x,10,42135,20367,11025,2755,34147,9159782.609,4427608.696,2396739.13,598913.0435,7423260.87
CU18_508,Virus,2018,11,28,18;00,18,Experiment,Coral_Dictyota,2,5,0,2,vi190219.091,CU18_508_100x,100,7830,4977,1546,305,6828,17021739.13,10819565.22,3360869.565,663043.4783,14843478.26
CU18_509,Virus,2018,11,28,18;00,18,Experiment,Coral_Dictyota,3,6,0,2,vi190219.094,CU18_509_10x,10,38565,19099,9432,2295,30826,8383695.652,4151956.522,2050434.783,498913.0435,6701304.348
CU18_510,Virus,2018,11,28,18;00,18,Experiment,Coral,1,7,0,2,vi190219.095,CU18_510_100x,100,9015,5678,1941,403,8022,19597826.09,12343478.26,4219565.217,876086.9565,17439130.43
CU18_511,Virus,2018,11,28,18;00,18,Experiment,Coral,2,8,0,2,vi190219.098,CU18_511_10x,10,40095,22930,9857,2283,35070,8716304.348,4984782.609,2142826.087,496304.3478,7623913.043
CU18_512,Virus,2018,11,28,18;00,18,Experiment,Coral,3,9,0,2,vi190219.100,CU18_512_10x,10,35970,20370,8718,1965,31053,7819565.217,4428260.87,1895217.391,427173.913,6750652.174
CU18_513,Virus,2018,11,28,18;00,18,Experiment,Coral_Turf,1,10,0,2,vi190219.121,CU18_513_10x,10,46305,22715,11608,2754,37077,10066304.35,4938043.478,2523478.261,598695.6522,8060217.391
CU18_514,Virus,2018,11,28,18;00,18,Experiment,Coral_Turf,2,11,0,2,vi190219.123,CU18_514_10x,10,45675,24626,10781,2379,37786,9929347.826,5353478.261,2343695.652,517173.913,8214347.826
CU18_515,Virus,2018,11,28,18;00,18,Experiment,Coral_Turf,3,12,0,2,vi190219.125,CU18_515_10x,10,42525,23363,9497,2060,34920,9244565.217,5078913.043,2064565.217,447826.087,7591304.348
CU18_516,Virus,2018,11,28,18;00,18,Experiment,Turf,1,13,0,2,vi190219.127,CU18_516_10x,10,39435,20465,9164,1943,31572,8572826.087,4448913.043,1992173.913,422391.3043,6863478.261
CU18_517,Virus,2018,11,28,18;00,18,Experiment,Turf,2,14,0,2,vi190219.129,CU18_517_10x,10,36495,19282,8353,1711,29346,7933695.652,4191739.13,1815869.565,371956.5217,6379565.217
CU18_518,Virus,2018,11,28,18;00,18,Experiment,Turf,3,15,0,2,vi190219.131,CU18_518_10x,10,33675,17654,7722,1583,26959,7320652.174,3837826.087,1678695.652,344130.4348,5860652.174
CU18_519,Virus,2018,11,28,18;00,18,Control,Control,1,16,0,2,vi190219.133,CU18_519_10x,10,44880,23189,12420,3136,38745,9756521.739,5041086.957,2700000,681739.1304,8422826.087
CU18_520,Virus,2018,11,28,18;00,18,Control,Control,2,17,0,2,vi190219.135,CU18_520_10x,10,43080,22624,11760,2748,37132,9365217.391,4918260.87,2556521.739,597391.3043,8072173.913
CU18_521,Virus,2018,11,28,18;00,18,Control,Control,3,18,0,2,vi190219.137,CU18_521_10x,10,47970,24424,13539,3289,41252,10428260.87,5309565.217,2943260.87,715000,8967826.087
CU18_540,Virus,2018,11,28,21;00,21,Experiment,Dictyota,1,1,0,2,vi190220.004,CU18_540_10x,10,42090,16953,11386,2643,30982,9150000,3685434.783,2475217.391,574565.2174,6735217.391
CU18_541,Virus,2018,11,28,21;00,21,Experiment,Dictyota,2,2,0,2,vi190220.006,CU18_541_10x,10,34965,14722,9317,1977,26016,7601086.957,3200434.783,2025434.783,429782.6087,5655652.174
CU18_542,Virus,2018,11,28,21;00,21,Experiment,Dictyota,3,3,0,2,vi190220.008,CU18_542_10x,10,36825,14867,9348,2037,26252,8005434.783,3231956.522,2032173.913,442826.087,5706956.522
CU18_543,Virus,2018,11,28,21;00,21,Experiment,Coral_Dictyota,1,4,0,2,vi190220.010,CU18_543_10x,10,43080,22622,10030,2443,35095,9365217.391,4917826.087,2180434.783,531086.9565,7629347.826
CU18_544,Virus,2018,11,28,21;00,21,Experiment,Coral_Dictyota,2,5,0,2,vi190220.012,CU18_544_10x,10,42405,18563,11789,2909,33261,9218478.261,4035434.783,2562826.087,632391.3043,7230652.174
CU18_545,Virus,2018,11,28,21;00,21,Experiment,Coral_Dictyota,3,6,0,2,vi190220.014,CU18_545_10x,10,46140,18670,12347,3079,34096,10030434.78,4058695.652,2684130.435,669347.8261,7412173.913
CU18_546,Virus,2018,11,28,21;00,21,Experiment,Coral,1,7,0,2,vi190220.016,CU18_546_10x,10,44910,22417,12783,3076,38276,9763043.478,4873260.87,2778913.043,668695.6522,8320869.565
CU18_548,Virus,2018,11,28,21;00,21,Experiment,Coral,2,8,0,2,vi190220.018,CU18_548_10x,10,42105,24338,10120,2165,36623,9153260.87,5290869.565,2200000,470652.1739,7961521.739
