Sample_ID,Analysis_Type,Year,Month,Day,Time,Time_Point,Exp_Sample_Type,Treatment_ratio,Replicate,Bottle_Nr,Notes,"Keyword: SAMPLE ID for Plot #2, overlay #1",,,Filename,Nr of Events,"Nr of Events, Gate 1","Nr of Events, Gate 2","Nr of Events, Top","Nr of Events, gate4","Nr of Events, LDNA",Concentration,Concentration_Gate1,Concentration_Gate2,Concentration_Gate3,Concentration_Gate4,Concentration_LDNA
CU18_430,Virus,2018,11,28,09;00,9,Experiment,Dictyota,3,3,0,CU18,430,10,ba190219.027,7155,2585,557,262,62,928,1555434.783,561956.5217,121086.9565,56956.52174,13478.26087,201739.1304
CU18_431,Virus,2018,11,28,09;00,9,Experiment,Coral_Dictyota,1,4,0,CU18,431,10,ba190219.035,2370,956,119,71,25,407,515217.3913,207826.087,25869.56522,15434.78261,5434.782609,88478.26087
CU18_432,Virus,2018,11,28,09;00,9,Experiment,Coral_Dictyota,2,5,0,CU18,432,2,ba190219.038,10950,4618,898,567,226,1416,476086.9565,200782.6087,39043.47826,24652.17391,9826.086957,61565.21739
CU18_433,Virus,2018,11,28,09;00,9,Experiment,Coral_Dictyota,3,6,0,CU18,433,10,ba190219.039,7845,3378,543,741,294,802,1705434.783,734347.8261,118043.4783,161086.9565,63913.04348,174347.8261
CU18_434,Virus,2018,11,28,09;00,9,Experiment,Coral,1,7,0,CU18,434,10,ba190219.041,5880,1963,402,493,176,498,1278260.87,426739.1304,87391.30435,107173.913,38260.86957,108260.8696
CU18_435,Virus,2018,11,28,09;00,9,Experiment,Coral,2,8,0,CU18,435,10,ba190219.043,6360,2355,484,624,178,609,1382608.696,511956.5217,105217.3913,135652.1739,38695.65217,132391.3043
CU18_436,Virus,2018,11,28,09;00,9,Experiment,Coral,3,9,0,CU18,436,10,ba190219.045,6285,1962,400,610,96,512,1366304.348,426521.7391,86956.52174,132608.6957,20869.56522,111304.3478
CU18_437,Virus,2018,11,28,09;00,9,Experiment,Coral_Turf,1,10,0,CU18,437,2,ba190219.066,14460,5676,1242,889,239,1648,628695.6522,246782.6087,54000,38652.17391,10391.30435,71652.17391
CU18_438,Virus,2018,11,28,09;00,9,Experiment,Coral_Turf,2,11,0,CU18,438,2,ba190219.068,15270,6633,1310,1417,350,1427,663913.0435,288391.3043,56956.52174,61608.69565,15217.3913,62043.47826
CU18_439,Virus,2018,11,28,09;00,9,Experiment,Coral_Turf,3,12,0,CU18,439,2,ba190219.070,15090,5472,1269,748,244,1650,656086.9565,237913.0435,55173.91304,32521.73913,10608.69565,71739.13043
CU18_440,Virus,2018,11,28,09;00,9,Experiment,Turf,1,13,0,CU18,440,2,ba190219.072,13170,5007,1180,545,175,1669,572608.6957,217695.6522,51304.34783,23695.65217,7608.695652,72565.21739
CU18_441,Virus,2018,11,28,09;00,9,Experiment,Turf,2,14,0,CU18,441,2,ba190219.074,13140,4566,1152,536,186,1425,571304.3478,198521.7391,50086.95652,23304.34783,8086.956522,61956.52174
CU18_442,Virus,2018,11,28,09;00,9,Experiment,Turf,3,15,0,CU18,442,2,ba190219.076,13845,5190,1216,632,215,1653,601956.5217,225652.1739,52869.56522,27478.26087,9347.826087,71869.56522
CU18_443,Virus,2018,11,28,09;00,9,Control,Control,1,16,0,CU18,443,2,ba190219.078,18870,5847,1195,821,211,1673,820434.7826,254217.3913,51956.52174,35695.65217,9173.913043,72739.13043
CU18_444,Virus,2018,11,28,09;00,9,Control,Control,2,17,0,CU18,444,2,ba190219.080,19500,5878,1436,1012,293,1696,847826.087,255565.2174,62434.78261,44000,12739.13043,73739.13043
