"","O1903027","O1903029","O1903032","O1903033","O1903035","O1903040","O1903047","O1903048","O1903050","O1903054","O1903056","O1903057","O1903059","O1903062","O1903063","O1903065","O1903066","O1903069","O1903071","O1903072","O1903075","O1903076","O1903078","O1903080"
"357_177.1022_4.3699_-1_Massbank:BML00569 Cotinine_calycosin_Organic compounds_Organoheterocyclic compounds_Pyridines and derivatives_Pyrrolidinylpyridines","2.839632e+05","2.531351e+05","2.759548e+05","2.631181e+05","2.417457e+05","1.600447e+05","2.854439e+05","2.440714e+05","1.628732e+05","2.737020e+05","1.242976e+05","1.078859e+05","2.393238e+05","2.778637e+05","1.386506e+05","2.963210e+05","2.449304e+05","2.359137e+05","2.514378e+05","2.411651e+05","1.021659e+05","2.619433e+05","2.505779e+05","1.508056e+05"
"390_178.159_9.6663_-1_Massbank:KW102603 2,6-diisopropylaniline_Massbank:LU031502 4,4'-Methylenebis(2,6-diethylaniline)|4-[(4-amino-3,5-diethylphenyl)methyl]-2,6-diethylaniline_Organic compounds_Benzenoids_Benzene and substituted derivatives_Cumenes","2.323472e+06","2.520041e+06","2.820729e+06","1.852222e+06","2.460900e+06","1.469154e+06","1.783635e+06","2.240600e+06","2.148522e+06","2.812581e+06","2.983502e+06","2.539407e+06","1.483451e+06","3.764258e+06","2.042527e+06","1.290896e+06","1.609278e+06","1.226548e+06","1.247019e+06","2.099995e+06","2.677758e+06","2.771938e+06","1.702999e+06","3.576241e+06"
"425_180.088_1.5698_5627_2-amino-1,9-dimethyl-6,9-dihydro-1H-purin-6-one_7,4??????-Di-O-methylapigenin_Organic compounds_Organoheterocyclic compounds_Imidazopyrimidines_Purines and purine derivatives","4.153080e+03","0.000000e+00","0.000000e+00","1.224173e+03","1.026122e+03","1.623903e+03","0.000000e+00","0.000000e+00","1.393374e+03","1.166316e+03","1.382139e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","2.191470e+03","1.451663e+03","1.215988e+03","1.438211e+03","1.017822e+03","1.392754e+03","1.774473e+03","0.000000e+00","1.105977e+03"
"434_180.1019_2.9666_116_Massbank:EQ333702 N-ethyl-4-methoxybenzamide_caffeic acid_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives","2.990092e+04","3.241324e+04","2.249111e+04","5.767609e+04","3.371392e+04","1.634440e+04","2.771935e+04","1.610201e+04","2.329181e+04","2.860215e+04","4.224632e+04","2.200750e+04","2.177672e+04","4.121768e+04","4.393955e+04","3.599403e+04","2.693309e+04","2.925093e+04","4.254463e+04","4.343606e+04","1.116867e+04","2.159375e+04","2.348660e+04","2.258533e+04"
"436_180.1382_9.3563_6897_Massbank:LU054801 2-(N-Ethyl-m-toluidino)ethanol|2-(N-ethyl-3-methylanilino)ethanol_Camellimidazole E_Organic compounds_Benzenoids_Benzene and substituted derivatives_Toluenes","2.355606e+05","1.952151e+05","1.977685e+05","1.889299e+05","1.406357e+05","2.489890e+05","3.325058e+05","2.755057e+05","1.833658e+05","1.661289e+05","2.144274e+05","2.707327e+05","1.737764e+05","1.877614e+05","1.735534e+05","1.797064e+05","1.986507e+05","1.705553e+05","1.865015e+05","2.177360e+05","2.023003e+05","2.609279e+05","2.400330e+05","2.012110e+05"
"440_180.1593_5.2033_70_N/A_9-(2,3-dihydroxy-3-methylbutyl)-4-methoxyfuro[3,2-g]chromen-7-one_no matches_no matches_no matches_no matches","2.957707e+05","1.721788e+06","3.411071e+05","3.905840e+05","2.053687e+05","1.650491e+05","1.945192e+05","2.809030e+05","2.069313e+06","3.801044e+05","1.659563e+06","1.708662e+05","2.762182e+05","3.832786e+05","3.104015e+05","1.227077e+06","3.586519e+05","1.939401e+05","1.254307e+06","2.610613e+05","3.597904e+05","4.806319e+05","2.926246e+06","3.768321e+05"
"508_184.0968_4.5832_483_N/A_GUANIDINOSUCCINATE_Organic compounds_Lipids and lipid-like molecules_Fatty Acyls_Fatty acid esters","3.399545e+05","1.936446e+05","1.587840e+05","2.078823e+05","1.518408e+05","1.584631e+05","2.555380e+05","1.718370e+05","1.367456e+05","1.297631e+05","2.151179e+05","2.047940e+05","8.415362e+04","1.647116e+05","2.118662e+05","3.131262e+05","3.390461e+05","3.571008e+05","2.498112e+05","1.693493e+05","1.056959e+05","2.670442e+05","1.378504e+05","1.878807e+05"
"581_187.0964_4.8854_1204_N/A_methyl 5-hydroxy-1-(2-methoxyethyl)-2-methylbenzo[g]indole-3-carboxylate_no matches_no matches_no matches_no matches","1.625495e+05","2.119020e+05","2.411745e+05","1.304183e+05","3.010818e+05","1.685771e+05","1.362716e+05","2.815463e+05","2.513329e+05","2.751451e+05","1.784742e+05","2.700388e+05","2.434574e+05","2.283810e+05","2.443908e+05","2.006506e+05","2.533523e+05","3.009591e+05","1.880727e+05","2.914923e+05","2.375787e+05","2.643733e+05","3.837363e+05","2.164322e+05"
"584_187.0964_7.3302_1204_N/A_NA_no matches_no matches_no matches_no matches","1.407974e+04","1.828268e+04","2.162291e+04","1.792024e+04","1.256503e+04","1.181337e+04","4.614626e+04","1.216001e+04","1.601183e+04","2.110290e+04","1.203091e+04","3.124507e+04","1.073064e+04","2.029098e+04","2.993293e+04","1.971352e+04","3.507434e+04","4.832895e+04","3.566859e+04","4.419588e+04","3.704171e+04","2.480762e+04","1.993783e+04","2.868104e+04"
"651_190.032_4.0778_1369_N/A_NA_no matches_no matches_no matches_no matches","3.457930e+05","3.380970e+05","2.379650e+05","3.887032e+05","2.502946e+05","2.924499e+05","2.352212e+05","2.279962e+05","1.711973e+05","3.189269e+05","4.616445e+05","4.408493e+05","2.405405e+05","2.069353e+05","6.646409e+04","3.050714e+05","2.108591e+05","1.409269e+05","2.596382e+05","2.222945e+05","3.012282e+05","2.566969e+05","3.114493e+05","3.862375e+05"
"657_190.0713_5.3525_559_N/A_1-methylxanthine_no matches_no matches_no matches_no matches","3.306778e+03","2.851979e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.408459e+03","0.000000e+00","0.000000e+00","0.000000e+00","1.252420e+04","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.665427e+03","3.285077e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","8.674805e+04","4.560466e+03","3.895798e+03"
"685_191.1641_7.5971_1055_N/A_Spectral Match to Tri(propylene glycol) butyl ether from NIST14_no matches_no matches_no matches_no matches","1.299063e+07","1.113427e+07","3.814027e+07","2.732210e+07","3.067136e+07","2.702831e+07","1.125229e+07","2.324666e+07","1.276292e+07","2.487236e+07","1.157436e+07","2.868217e+07","1.221293e+07","1.603709e+07","3.594462e+07","2.643944e+07","3.138378e+07","3.198668e+07","2.509816e+07","2.356934e+07","3.128062e+07","1.803341e+07","1.011592e+07","1.357184e+07"
"700_192.123_6.507_5278_N/A_Massbank:FFF00095 Dehydroepiandrosterone_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","3.653872e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00"
"704_192.1382_8.0265_573_Massbank:TUE00311 Diethyltoluamide|DEET_Massbank:TUE00311 Diethyltoluamide|DEET_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives","2.004815e+07","1.116890e+07","1.405577e+07","1.923637e+07","1.442259e+07","1.610554e+07","1.110328e+07","1.087251e+07","1.278190e+07","1.373846e+07","1.008161e+07","1.511064e+07","1.409687e+07","1.159940e+07","1.864322e+07","1.377459e+07","1.700059e+07","2.085946e+07","1.090969e+07","1.135841e+07","1.404418e+07","2.001011e+07","6.890528e+06","1.134955e+07"
"726_193.0859_9.6803_-1_N/A_estradiol benzoate_no matches_no matches_no matches_no matches","1.734852e+05","1.665146e+05","1.809786e+05","1.303438e+05","1.771098e+05","1.274865e+05","1.454218e+05","1.792662e+05","1.831804e+05","1.435624e+05","1.954292e+05","1.490331e+05","1.840961e+05","2.869804e+05","2.211528e+05","2.038204e+05","2.117854e+05","2.162155e+05","1.562372e+05","2.246755e+05","2.225000e+05","2.445572e+05","1.150744e+05","1.654110e+05"
"740_193.1223_8.3121_-1_N/A_Spectral Match to Curcumol from NIST14_no matches_no matches_no matches_no matches","7.784130e+04","1.274827e+05","2.522353e+05","3.460394e+05","3.729843e+05","4.537988e+05","2.071237e+05","3.714197e+05","2.620881e+05","1.573467e+05","2.601953e+05","4.603643e+05","1.590177e+05","1.546365e+05","2.845931e+05","2.587546e+05","2.326226e+05","1.838115e+05","1.838308e+05","4.250018e+05","3.733806e+05","4.586256e+05","3.290787e+05","1.219769e+05"
"747_193.1336_2.8941_-1_N/A_sinomenine_no matches_no matches_no matches_no matches","3.572219e+05","3.555328e+05","2.007641e+05","3.384143e+05","3.399153e+05","3.286057e+05","2.331280e+05","3.484088e+05","3.366104e+05","3.177979e+05","3.985710e+05","2.138577e+05","3.247073e+05","3.683465e+05","1.141683e+05","2.921764e+05","1.592831e+05","2.969654e+05","3.455132e+05","3.630899e+05","3.607910e+05","2.999919e+05","3.725164e+05","1.206631e+05"
"748_193.1416_8.0259_8144_N/A_2-Glucosyloxy-4-methoxycinnamic acid_no matches_no matches_no matches_no matches","2.701660e+06","1.459892e+06","2.167666e+06","2.489508e+06","1.960977e+06","2.061947e+06","1.441851e+06","1.475100e+06","1.668741e+06","1.874908e+06","1.396709e+06","1.820890e+06","1.874985e+06","1.506228e+06","2.919043e+06","2.061200e+06","2.195602e+06","2.964643e+06","1.748544e+06","1.513880e+06","1.865643e+06","2.731053e+06","8.653477e+05","1.382446e+06"
"749_193.1416_9.6446_-1_N/A_MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide_no matches_no matches_no matches_no matches","4.021307e+06","2.062205e+06","1.664984e+06","2.415016e+06","3.070330e+06","2.275282e+06","1.219862e+06","1.095149e+06","1.617434e+06","1.591500e+06","1.997577e+06","2.397292e+06","1.576678e+06","1.454392e+06","2.174707e+06","1.760404e+06","2.259632e+06","3.221370e+06","1.722344e+06","2.404028e+06","2.204866e+06","5.577509e+06","2.122649e+05","3.303989e+06"
"758_193.1586_7.8367_6551_N/A_Spectral Match to Myristoleic acid from NIST14_no matches_no matches_no matches_no matches","2.427152e+05","1.835736e+05","1.704405e+05","1.732384e+05","1.373334e+05","1.630238e+05","2.185088e+05","1.390656e+05","3.435251e+05","1.028132e+05","3.927857e+05","3.191919e+05","1.697839e+05","1.836184e+05","4.586407e+05","1.970122e+05","2.046245e+05","3.244952e+05","2.167820e+05","1.651458e+05","2.670420e+05","4.616164e+05","4.393159e+05","1.008300e+05"
"767_194.0699_6.5031_-1_N/A_NA_no matches_no matches_no matches_no matches","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","1.346975e+04","2.139400e+04","0.000000e+00","0.000000e+00","3.171860e+03","0.000000e+00","0.000000e+00","3.551490e+03","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","0.000000e+00","4.240864e+03","0.000000e+00","0.000000e+00","6.349952e+03","0.000000e+00"
"768_194.0812_3.5373_263_N/A_NA_no matches_no matches_no matches_no matches","3.326830e+05","1.681672e+05","1.825995e+05","1.122355e+05","1.342666e+05","1.029284e+05","4.786122e+05","2.245018e+05","3.133319e+05","1.581403e+05","3.559696e+05","2.690584e+05","1.935015e+05","4.743461e+05","1.304440e+05","1.129506e+05","1.275168e+05","4.389166e+05","2.495574e+05","2.405085e+05","3.344998e+05","4.984459e+05","2.690983e+05","1.607042e+05"
"784_194.1539_3.5722_-1_N/A_NA_no matches_no matches_no matches_no matches","4.094662e+04","1.523693e+04","5.204249e+04","2.663196e+04","2.196035e+04","2.337998e+04","3.822302e+04","1.874582e+04","1.429785e+04","2.601342e+04","1.880686e+04","2.367103e+04","2.689115e+04","1.753192e+04","1.770893e+04","3.412048e+04","2.219408e+04","1.374689e+04","1.574424e+04","3.541231e+04","3.391866e+04","1.456539e+04","1.362722e+04","2.518900e+04"
"786_194.1902_5.2448_5627_N/A_(2E,6E)-3,7,11-trimethyl-2,6,10-dodecatrien-1-ol_Organic compounds_Organoheterocyclic compounds_Imidazopyrimidines_Purines and purine derivatives","3.591719e+05","2.881399e+05","2.667966e+05","2.479709e+05","2.674141e+05","3.346324e+05","2.799650e+05","2.424455e+05","2.497873e+05","2.900548e+05","3.371346e+05","3.130292e+05","2.281262e+05","2.653078e+05","1.857867e+05","3.190770e+05","2.944363e+05","3.012782e+05","3.160492e+05","2.357040e+05","2.674084e+05","2.683558e+05","2.353977e+05","3.436268e+05"
"797_195.1015_7.6851_573_N/A_Spectral Match to Dimethyl phthalate from NIST14_Organic compounds_Benzenoids_Benzene and substituted derivatives_Benzoic acids and derivatives","3.008261e+05","1.778521e+05","1.557388e+05","1.791859e+05","4.298993e+05","2.585122e+05","1.370574e+05","1.430951e+05","1.276618e+05","1.930114e+05","1.726541e+05","2.934493e+05","1.820235e+05","2.823819e+05","2.438943e+05","2.881409e+05","2.939523e+05","8.462577e+04","2.029208e+05","2.224488e+05","2.488046e+05","1.875692e+05","1.885383e+05","3.039106e+05"
"799_195.1015_10.3065_1033_(1S,2S,6R,7R,9R)-6-methyl-10,12-dioxatricyclo[7.2.1.0]dodec-4-en-8-one_(1S,2S,6R,7R,9R)-6-methyl-10,12-dioxatricyclo[7.2.1.0]dodec-4-en-8-one_no matches_no matches_no matches_no matches","1.378672e+05","3.105612e+04","1.830291e+05","1.693773e+05","2.271121e+05","2.847332e+05","4.523598e+05","2.067960e+05","1.389175e+05","1.151378e+05","1.621430e+05","1.400010e+05","3.616099e+05","2.047220e+05","1.789470e+05","1.881627e+05","2.466514e+05","3.016817e+05","1.878387e+05","1.888454e+05","2.251917e+05","2.025645e+05","1.094882e+05","1.479860e+05"
